num_centers = 38500
epoch_inds: tensor([28994, 10160,  9026,  ...,    -1,    -1,    -1])
e000-i0425 => L=0.413 / t(s): batch=0.476 extract=0.038 vlad=0.021 loss=0.013 optim=0.111
e000-i0427 => L=0.829 / t(s): batch=0.478 extract=0.038 vlad=0.021 loss=0.013 optim=0.111
e000-i0429 => L=0.558 / t(s): batch=0.476 extract=0.038 vlad=0.021 loss=0.012 optim=0.108
e000-i0431 => L=0.482 / t(s): batch=0.464 extract=0.036 vlad=0.022 loss=0.010 optim=0.104
e000-i0433 => L=0.801 / t(s): batch=0.456 extract=0.036 vlad=0.021 loss=0.010 optim=0.104
e000-i0435 => L=0.769 / t(s): batch=0.446 extract=0.036 vlad=0.021 loss=0.010 optim=0.103
e000-i0437 => L=1.521 / t(s): batch=0.445 extract=0.036 vlad=0.021 loss=0.010 optim=0.101
e000-i0439 => L=0.667 / t(s): batch=0.432 extract=0.035 vlad=0.021 loss=0.009 optim=0.098
e000-i0441 => L=0.696 / t(s): batch=0.439 extract=0.035 vlad=0.021 loss=0.009 optim=0.099
e000-i0443 => L=0.723 / t(s): batch=0.446 extract=0.035 vlad=0.021 loss=0.010 optim=0.100
e000-i0445 => L=0.429 / t(s): batch=0.442 extract=0.035 vlad=0.021 loss=0.009 optim=0.098
e000-i0447 => L=0.591 / t(s): batch=0.445 extract=0.036 vlad=0.021 loss=0.010 optim=0.101
e000-i0450 => L=0.783 / t(s): batch=0.439 extract=0.036 vlad=0.021 loss=0.010 optim=0.101
e000-i0452 => L=0.643 / t(s): batch=0.456 extract=0.037 vlad=0.022 loss=0.012 optim=0.109
e000-i0454 => L=0.410 / t(s): batch=0.463 extract=0.038 vlad=0.022 loss=0.013 optim=0.113
e000-i0456 => L=0.551 / t(s): batch=0.468 extract=0.039 vlad=0.022 loss=0.014 optim=0.116
e000-i0458 => L=0.640 / t(s): batch=0.453 extract=0.039 vlad=0.022 loss=0.013 optim=0.112
e000-i0460 => L=0.555 / t(s): batch=0.450 extract=0.039 vlad=0.022 loss=0.013 optim=0.112
e000-i0462 => L=0.304 / t(s): batch=0.453 extract=0.039 vlad=0.022 loss=0.013 optim=0.112
e000-i0464 => L=0.106 / t(s): batch=0.458 extract=0.039 vlad=0.022 loss=0.013 optim=0.114
e000-i0466 => L=0.699 / t(s): batch=0.457 extract=0.038 vlad=0.021 loss=0.012 optim=0.110
e000-i0468 => L=0.418 / t(s): batch=0.455 extract=0.038 vlad=0.021 loss=0.012 optim=0.110
e000-i0470 => L=0.000 / t(s): batch=0.464 extract=0.038 vlad=0.021 loss=0.013 optim=0.112
e000-i0472 => L=0.567 / t(s): batch=0.458 extract=0.038 vlad=0.021 loss=0.012 optim=0.109
e000-i0474 => L=0.814 / t(s): batch=0.454 extract=0.037 vlad=0.021 loss=0.011 optim=0.105
e000-i0476 => L=0.432 / t(s): batch=0.451 extract=0.037 vlad=0.021 loss=0.011 optim=0.105
e000-i0478 => L=0.989 / t(s): batch=0.456 extract=0.038 vlad=0.021 loss=0.013 optim=0.111
